21,42,84,168,336,672,1344,2688,5376,10752,21504,43008,86016,172032,344064,163841,327682,131077,262154,514052,503817,483347,442407,360527,196767,393534,262781,1275,2550,5100,10200,20400,40800,81600,163200,326400,128513,257026,10256,20512,41024,82048,164096,328192,132097,264194,4101,8202,16404,32808,65616,131232,262464,641,1282,2564,5128,514031,503775,483263,442239,360191,196095,392190,260093,520186,516085,507883,491479,458671,393055,261823,523646,523005,521723,519159,524266,524245,524203,524119,523951,523615,522943,521599,518911,513535,502783,481279,438271,352255,180223,360446,196605,393210,262133,10235,20470,40940,81880,163760,327520,130753,261506,523012,521737,519187,514087,503887,483487,442687,361087,197887,395774,267261,
23,46,92,184,368,736,1472,2944,5888,11776,23552,47104,94208,188416,376832,229377,458754,393221,262155,123727,247454,494908,465529,406771,289255,54223,108446,216892,433784,343281,162275,324550,124813,249626,499252,474217,424147,324007,400583,276879,29471,58942,117884,235768,471536,418785,313283,102279,204558,409116,293945,63603,127206,254412,508824,493361,462435,123704,247408,494816,465345,406403,288519,52751,105502,211004,422008,319729,115171,230342,460684,397081,269875,15463,30926,61852,524264,524241,524195,524103,523919,523551,522815,521343,518399,512511,500735,477183,430079,335871,147455,294910,65533,131066,262132,400560,276833,29379,58758,117516,235032,470064,415841,307395,90503,181006,362012,199737,399474,274661,25035,50070,100140,200280,
25,50,100,200,400,800,1600,3200,6400,12800,25600,51200,102400,204800,409600,294913,65539,131078,262156,347901,171515,343030,161773,323546,122805,245610,491220,458153,392019,259751,519502,514717,505147,486007,447727,371167,218047,436094,176411,352822,181357,362714,201141,402282,280277,36267,72534,145068,290136,55985,111970,223940,447880,371473,218659,437318,350349,347876,171465,342930,161573,323146,122005,244010,488020,451753,379219,234151,468302,412317,300347,76407,152814,305628,86969,173938,524262,524237,524187,524087,523887,523487,522687,521087,517887,511487,498687,473087,421887,319487,114687,229374,458748,393209,262131,176386,352772,181257,362514,200741,401482,278677,33067,66134,132268,264536,4785,9570,19140,38280,76560,153120,306240,88193,
27,54,108,216,432,864,1728,3456,6912,13824,27648,55296,110592,221184,442368,360449,196611,393222,262157,133784,267568,10849,21698,43396,86792,173584,347168,170049,340098,155909,311818,99349,198698,397396,270505,16723,33446,66892,390530,256773,513546,502805,481323,438359,352431,180575,361150,198013,396026,267765,11243,22486,44972,89944,179888,359776,195265,133757,267514,10741,21482,42964,85928,171856,343712,163137,326274,128261,256522,513044,501801,479315,434343,344399,164511,329022,524260,524233,524179,524071,523855,523423,522559,520831,517375,510463,496639,468991,413695,303103,81919,163838,327676,131065,262130,390503,256719,513438,502589,480891,437495,350703,177119,354238,184189,368378,212469,424938,325589,126891,253782,507564,490841,457395,
29,58,116,232,464,928,1856,3712,7424,14848,29696,59392,118784,237568,475136,425985,327683,131079,262158,171222,342444,160601,321202,118117,236234,472468,420649,317011,109735,219470,438940,353593,182899,365798,207309,414618,304949,85611,353094,181901,363802,203317,406634,288981,53675,107350,214700,429400,334513,144739,289478,54669,109338,218676,437352,350417,176547,171193,342386,160485,320970,117653,235306,470612,416937,309587,94887,189774,379548,234809,469618,414949,305611,86935,173870,347740,524258,524229,524171,524055,523823,523359,522431,520575,516863,509439,494591,464895,405503,286719,49151,98302,196604,393208,262129,353065,181843,363686,203085,406170,288053,51819,103638,207276,414552,304817,85347,170694,341388,158489,316978,109669,219338,438676,
31,62,124,248,496,992,1984,3968,7936,15872,31744,63488,126976,253952,507904,491521,458755,393223,262159,63775,127550,255100,510200,496113,467939,411591,298895,73503,147006,294012,63737,127474,254948,509896,495505,466723,409159,294031,460543,396799,269311,14335,28670,57340,114680,229360,458720,393153,262019,524038,523789,523291,522295,520303,516319,508351,492415,63744,127488,254976,509952,495617,466947,409607,294927,65567,131134,262268,249,498,996,1992,3984,7968,15936,31872,524256,524225,524163,524039,523791,523295,522303,520319,516351,508415,492543,460799,397311,270335,16383,32766,65532,131064,262128,460512,396737,269187,14087,28174,56348,112696,225392,450784,377281,230275,460550,396813,269339,14391,28782,57564,115128,230256,
33,66,132,264,528,1056,2112,4224,8448,16896,33792,67584,135168,270336,16385,32770,65540,131080,262160,240360,480720,437153,350019,175751,351502,178717,357434,190581,381162,238037,476074,427861,331435,138583,277166,30045,60090,120180,283960,43633,87266,174532,349064,173841,347682,171077,342154,160021,320042,115797,231594,463188,402089,279891,35495,70990,141980,240327,480654,437021,349755,175223,350446,176605,353210,182133,364266,204245,408490,292693,61099,122198,244396,488792,453297,382307,524254,524221,524155,524023,523759,523231,522175,520063,515839,507391,490495,456703,389119,253951,507902,491517,458747,393207,262127,283927,43567,87134,174268,348536,172785,345570,166853,333706,143125,286250,48213,96426,192852,385704,247121,494242,464197,404107,
35,70,140,280,560,1120,2240,4480,8960,17920,35840,71680,143360,286720,49153,98306,196612,393224,262161,499117,473947,423607,322927,121567,243134,486268,448249,372211,220135,440270,356253,188219,376438,228589,457178,390069,255851,511702,25205,50410,100820,201640,403280,282273,40259,80518,161036,322072,119857,239714,479428,434569,344851,165415,330830,137373,274746,499082,473877,423467,322647,121007,242014,484028,443769,363251,202215,404430,284573,44859,89718,179436,358872,193457,386914,249541,524252,524217,524147,524007,523727,523167,522047,519807,515327,506367,488447,452607,380927,237567,475134,425981,327675,131063,262126,25170,50340,100680,201360,402720,281153,38019,76038,152076,304152,84017,168034,336068,147849,295698,67109,134218,268436,12585,
37,74,148,296,592,1184,2368,4736,9472,18944,37888,75776,151552,303104,81921,163842,327684,131081,262162,346044,167801,335602,146917,293834,63381,126762,253524,507048,489809,455331,386375,248463,496926,469565,414843,305399,86511,173022,178280,356560,188833,377666,231045,462090,399893,275499,26711,53422,106844,213688,427376,330465,136643,273286,22285,44570,89140,346007,167727,335454,146621,293242,62197,124394,248788,497576,470865,417443,310599,96911,193822,387644,251001,502002,479717,435147,524250,524213,524139,523991,523695,523103,521919,519551,514815,505343,486399,448511,372735,221183,442366,360445,196603,393206,262125,178243,356486,188685,377370,230453,460906,397525,270763,17239,34478,68956,137912,275824,27361,54722,109444,218888,437776,351265,
39,78,156,312,624,1248,2496,4992,9984,19968,39936,79872,159744,319488,114689,229378,458756,393225,262163,360842,197397,394794,265301,6315,12630,25260,50520,101040,202080,404160,284033,43779,87558,175116,350232,176177,352354,180421,163484,326968,129649,259298,518596,512905,501523,478759,433231,342175,160063,320126,115965,231930,463860,403433,282579,40871,81742,360803,197319,394638,264989,5691,11382,22764,45528,91056,182112,364224,204161,408322,292357,60427,120854,241708,483416,442545,524248,524209,524131,523975,523663,523039,521791,519295,514303,504319,484351,444415,364543,204799,409598,294909,65531,131062,262124,163445,326890,129493,258986,517972,511657,499027,473767,423247,322207,120127,240254,480508,436729,349171,174055,348110,171933,343866,
41,82,164,328,656,1312,2624,5248,10496,20992,41984,83968,167936,335872,147457,294914,65541,131082,262164,309963,95639,191278,382556,240825,481650,439013,353739,183191,366382,208477,416954,309621,94955,189910,379820,235353,470706,417125,214365,428730,333173,142059,284118,43949,87898,175796,351592,178897,357794,191301,382602,240917,481834,439381,354475,184663,369326,309922,95557,191114,382228,240169,480338,436389,348491,172695,345390,166493,332986,141685,283370,42453,84906,169812,339624,154961,524246,524205,524123,523959,523631,522975,521663,519039,513791,503295,482303,440319,356351,188415,376830,229373,458746,393205,262123,214324,428648,333009,141731,283462,42637,85274,170548,341096,157905,315810,107333,214666,429332,334377,144467,288934,53581,107162,
43,86,172,344,688,1376,2752,5504,11008,22016,44032,88064,176128,352256,180225,360450,196613,393226,262165,332018,139749,279498,34709,69418,138836,277672,31057,62114,124228,248456,496912,469537,414787,305287,86287,172574,345148,166009,192312,384624,244961,489922,455557,386827,249367,498734,473181,422075,319863,115439,230878,461756,399225,274163,24039,48078,96156,331975,139663,279326,34365,68730,137460,274920,25553,51106,102212,204424,408848,293409,62531,125062,250124,500248,476209,428131,524244,524201,524115,523943,523599,522911,521535,518783,513279,502271,480255,436223,348159,172031,344062,163837,327674,131061,262122,192269,384538,244789,489578,454869,385451,246615,493230,462173,400059,275831,27375,54750,109500,219000,438000,351713,179139,358278,
45,90,180,360,720,1440,2880,5760,11520,23040,46080,92160,184320,368640,212993,425986,327685,131083,262166,207597,415194,306101,87915,175830,351660,179033,358066,191845,383690,243093,486186,448085,371883,219479,438958,353629,182971,365942,316735,109183,218366,436732,349177,174067,348134,171981,343962,163637,327274,130261,260522,521044,517801,511315,498343,472399,420511,207552,415104,305921,87555,175110,350220,176153,352306,180325,360650,197013,394026,263765,3243,6486,12972,25944,51888,103776,524242,524197,524107,523927,523567,522847,521407,518527,512767,501247,478207,432127,339967,155647,311294,98301,196602,393204,262121,316690,109093,218186,436372,348457,172627,345254,166221,332442,140597,281194,38101,76202,152404,304808,85329,170658,341316,158345,
